id,lower,upper
10001,9,170
10022,2,164
10026,1,153
10035,111,222
10044,13,182
10046,1,171
10055,84,216
10067,115,224
10071,81,126
10073,45,179
10083,48,234
10084,14,186
10092,14,144
10099,72,134
10107,3,195
10121,5,165
10136,1,175
10143,74,255
10144,13,165
10161,16,205
10186,115,207
10190,1,176
10200,68,229
10214,84,190
10219,15,182
10224,16,140
10227,10,224
10232,60,240
10238,3,171
10242,17,135
10244,4,131
10256,57,195
10260,66,208
10272,11,204
10278,25,254
10290,4,192
10293,51,223
10299,10,144
10300,21,171
10305,70,225
10307,6,165
10314,3,144
10315,55,106
10316,20,164
10319,10,206
10324,1,165
10336,10,145
10338,7,102
10340,1,138
10352,30,184
10354,1,217
10362,15,144
10375,95,244
10393,2,153
10415,113,223
10459,91,214
10476,9,221
10485,13,134
10487,1,177
10491,107,206
10525,78,224
10564,2,155
10595,7,137
10618,63,223
10710,1,195
10715,15,164
10727,16,161
10733,10,161
10777,1,161
10844,132,244
10909,1,183
11012,1,151
11043,1,99
11079,3,184
11099,41,176
11192,1,149
11200,11,128
11220,11,133
11265,16,114
11313,72,239
11365,4,131
11377,1,143
11448,1,149
11460,71,127
11502,1,157
11513,22,160
11561,2,181
11598,2,136
11609,16,161
11616,7,142
11682,16,185
11706,97,205
11753,15,136
11777,6,128
11837,4,142
11848,85,217
11863,35,208
11874,2,135
11880,85,127
11885,8,170
11910,26,185
11947,4,189
11949,20,196
11987,30,162
12034,17,187
12036,27,193
12037,88,209
12074,96,254
12077,11,146
12097,5,165
12098,56,205
12100,14,144
12115,41,247
12145,3,124
12177,2,156
12207,2,150
12291,53,222
12292,20,202
12383,2,164
15600,13,198
1377,45,202
1380,49,155
1418,178,212
1489,62,190
1511,154,200
1512,115,177
1513,58,172
1514,97,167
1515,61,180
1516,74,174
1517,76,183
1518,174,203
1519,100,157
1520,59,152
1559,179,198
1587,71,246
1588,34,181
2272,90,215
2484,70,218
2774,31,76
2853,13,38
3229,9,60
3339,3,54
4133,100,181
7024,4,149
7114,7,181
7150,70,219
7184,51,190
7255,7,123
7290,43,228
7427,18,52
7470,63,187
7491,6,136
7519,11,177
7551,7,157
7554,9,138
7707,21,179
7728,6,151
7840,15,161
7884,14,151
7963,20,176
8139,1,113
8142,24,194
8218,18,114
8428,10,131
8441,24,190
8519,11,200
8678,37,149
8728,14,86
8739,9,145
8789,21,193
8833,24,162
9602,8,182
9604,18,171
9619,31,153
9620,16,115
9640,20,157
9648,20,160
9649,36,169
9655,27,154
9659,62,235
9666,8,159
9670,14,168
9682,7,149
9696,21,142
9715,73,208
9720,15,136
9728,35,126
9735,19,137
9742,6,167
9761,13,162
9793,8,143
9822,30,149
9829,73,204
9845,60,111
9849,10,135
9861,6,153
9862,125,201
9869,11,149
9897,15,114
9905,9,137
9909,79,132
9926,12,168
9935,88,215
9970,1,157
9976,19,124
9984,63,100
9991,12,130
